from_id,condition_type,condition_value,to_id,item_required
A03,choice,路地を進む,B01,
A03,choice,周囲を観察する,C01,
B02,choice,挨拶する,B03,
B02,choice,無視して通り過ぎる,D01,
B03,choice,心臓とは何か尋ねる,B04,
B03,choice,他の情報を求める,B05,
B04,choice,鍵はどこにある？,B05,
B04,choice,博士について尋ねる,B05,
B05,choice,部品屋はどこ？,B06,
B05,choice,お礼を言って立ち去る,D01,
B06,choice,お礼を言って受け取る,B07,
B07,choice,市場へ向かう,D01,
C01,choice,近づいてみる,C02,
C02,choice,時間の乱れについて尋ねる,C03,
C02,choice,あなたは何者か尋ねる,C03,
C03,choice,どういう意味？,C04,
C03,choice,手がかりはある？,C04,
C04,choice,蒸気塔について教えて,C05,
C04,choice,誰が盗んでいるの？,C05,
C05,choice,お礼を言って市場へ向かう,D01,
C05,choice,他に知っていることは？,C06,
C06,choice,お礼を言って市場へ向かう,D01,
D01,choice,部品屋を探す,D02,
D01,choice,周囲を見回す,E01,
D02,choice,博士の鍵について尋ねる,D03,
D02,choice,時間が売れるのか尋ねる,D03,
D03,choice,何が必要なのか尋ねる,D04,
D03,choice,脅してみる,D04,
D04,choice,記憶のレコードを渡す,D05,memory_record
D04,choice,他に何か方法はないか尋ねる,D04,
D05,choice,鍵を受け取る,D06,
D06,choice,次の場所について尋ねる,D07,
D07,choice,蒸気バルブを受け取る,D08,
D08,choice,蒸気塔へ向かう,F01,
E01,choice,近づいてみる,E02,
E02,choice,あなたは管理人？,E03,
E02,choice,何の話をしている？,E03,
E03,choice,なぜ信用できない？,E04,
E03,choice,時間の商人について教えて,E04,
E04,choice,どうやって止める？,E05,
E04,choice,本当に博士が原因なのか疑問に思う,E05,
E05,choice,機械式眼球を受け取る,E06,
E06,choice,部品屋のところへ行く,D02,
F01,choice,進み続ける,F02,
F01,choice,引き返す,D01,
F02,choice,蒸気バルブを使う,F03,steam_valve
F02,choice,別の道を探す,F01,
F03,choice,通路に入る,F04,
F04,choice,中に入る,F05,
F05,choice,博士について尋ねる,F06,
F05,choice,時間の乱れについて尋ねる,F06,
F06,choice,大きなものとは？,F07,
F06,choice,博士は危険人物なの？,F07,
F07,choice,それとも？,F08,
F07,choice,装置を止める方法は？,F09,
F08,choice,同情する,F09,
F08,choice,それは危険だ,F09,
F09,choice,蒸気塔への行き方を教えて,F10,
F09,choice,他に何か助けになることは？,F10,
F10,choice,周波数ダイヤルを受け取る,F11,
F11,choice,蒸気塔へ向かう,G01,
G01,choice,錆びた鍵を使う,G02,rusty_key
G01,choice,別の入り口を探す,F01,
G02,choice,中に入る,G03,
G03,choice,下層へ向かう,G04,
G03,choice,周囲を調べる,G04,
