id,scene_id,character,text,choices,item_gain,item_required
A01,A01,ナレーター,九龍城——蒸気と歯車と電波の迷宮。この街では時間が歪み始めている。,次へ進む,,
A02,A02,ナレーター,気がつくと、あなたはこの混沌とした街の路地に立っていた。どうやってここに来たのか、よく覚えていない。,次へ進む,,
A03,A03,ナレーター,雨に濡れた路地裏。蒸気の煙が立ち込める中、どこかへ向かおうとした。,路地を進む;周囲を観察する,,
B01,B01,ナレーター,あなたは狭い路地を進み、九龍城の中心部へと向かった。,次へ進む,,
B02,B02,説教師,「拝め、拝め、この音にゃ魂が宿っとる。お前さん、新顔じゃな」,挨拶する;無視して通り過ぎる,,
B03,B03,説教師,「時間の乱れを調べておるのか？ならば、まずは『心臓』の音を聴くがよい」,心臓とは何か尋ねる;他の情報を求める,,
B04,B04,説教師,「チクタック、チクタック...この街の心臓は、博士の研究室に隠されておる。だが、まずは『鍵』が必要じゃ」,鍵はどこにある？;博士について尋ねる,,
B05,B05,説教師,「鍵は...音に聴け。時を刻む者の元に...部品屋を探すがよい」,部品屋はどこ？;お礼を言って立ち去る,,
B06,B06,説教師,「市場...煙の立ち込める市場に、パイプ商人がおる。だがその前に...これを持って行くがよい」,お礼を言って受け取る,memory_record,
B07,B07,ナレーター,説教師から「記憶のレコード」を受け取った。何か重要な情報が録音されているようだ。,市場へ向かう,,
C01,C01,ナレーター,周囲を観察すると、暗がりの中で光るランタンが目に入った。,近づいてみる,,
C02,C02,灯り番,「光を求める人...それとも闇に隠れた何かを？」,時間の乱れについて尋ねる;あなたは何者か尋ねる,,
C03,C03,灯り番,「時間が壊れるとき、最初に消えるのは影...次に光...そして記憶」,どういう意味？;手がかりはある？,,
C04,C04,灯り番,「誰かが時間を盗んでいる...街の中心、蒸気塔の下で...」,蒸気塔について教えて;誰が盗んでいるの？,,
C05,C05,灯り番,「蒸気塔へ行くなら、まずは部品屋に会うべき...市場で彼を探して」,お礼を言って市場へ向かう;他に知っていることは？,,
C06,C06,灯り番,「用心して...管理人が見ている...彼は"存在しない階"に住む情報屋だけど、信じすぎるのは危険」,お礼を言って市場へ向かう,,
D01,D01,ナレーター,活気に満ちた市場に到着した。様々な機械部品や奇妙なアイテムが売られている。,部品屋を探す;周囲を見回す,,
D02,D02,部品屋,「何か必要かい？パイプ、バルブ、時間...何でも売ってるよ」,博士の鍵について尋ねる;時間が売れるのか尋ねる,,
D03,D03,部品屋,「博士の鍵？...そいつは特別なものだ。ただでは渡せないね」,何が必要なのか尋ねる;脅してみる,,
D04,D04,部品屋,「何か交換できるものはあるかい？価値あるものなら...」,記憶のレコードを渡す;他に何か方法はないか尋ねる,memory_record,
D05,D05,部品屋,「これは...！説教師のレコード！よし、取引成立だ。これを持っていきな」,鍵を受け取る,rusty_key,
D06,D06,ナレーター,部品屋から「錆びた鍵」を受け取った。博士の研究室に通じるようだ。,次の場所について尋ねる,,
D07,D07,部品屋,「博士の研究室は蒸気塔の地下...だが気をつけな。最近、時間の乱れが強くなってる。あと、これも持っていきな」,蒸気バルブを受け取る,steam_valve,
D08,D08,ナレーター,部品屋から「蒸気バルブ」を受け取った。道中で役立ちそうだ。,蒸気塔へ向かう,,
E01,E01,ナレーター,周囲を見回していると、壁際に佇む奇妙な人物が目に入った。,近づいてみる,,
E02,E02,管理人,「上か下か？答えは"ずっと前"さ...」,あなたは管理人？;何の話をしている？,,
E03,E03,管理人,「存在しない階から来た...時間の商人たちを調べているんだね？気をつけな、博士は信用できない」,なぜ信用できない？;時間の商人について教えて,,
E04,E04,管理人,「博士は時間を操る技術を開発した...だが暴走して街に時間の乱れが起きている。彼を止めなければならない」,どうやって止める？;本当に博士が原因なのか疑問に思う,,
E05,E05,管理人,「時計仕掛けの心臓を破壊するんだ...それが時間の乱れの源だ。これを使いなさい」,機械式眼球を受け取る,mechanical_eye,
E06,E06,ナレーター,管理人から「機械式眼球」を受け取った。使えば何か見えないものが見えるらしい。,部品屋のところへ行く,,
F01,F01,ナレーター,蒸気塔へと向かう道中、狭い路地に迷い込んだ。,進み続ける;引き返す,,
F02,F02,ナレーター,路地はさらに狭くなり、行き止まりになった。壁には奇妙なバルブと配管がある。,蒸気バルブを使う;別の道を探す,,steam_valve
F03,F03,ナレーター,蒸気バルブを接続すると、壁が動き、隠された通路が現れた。,通路に入る,,
F04,F04,ナレーター,通路の先には、小さな工房があった。中では誰かが作業している。,中に入る,,
F05,F05,医者,「腕を直すんじゃねえ、"目的"を調整してんだよ。...お客さん？珍しいね、ここに来る人は」,博士について尋ねる;時間の乱れについて尋ねる,,
F06,F06,医者,「博士？ああ、あの時計マニア...昔は同僚だったよ。今は塔の地下で何か大きなものを作ってる」,大きなものとは？;博士は危険人物なの？,,
F07,F07,医者,「時計仕掛けの心臓...時間を巻き戻す装置さ。でも本当に時間を修復するためなのか、それとも...」,それとも？;装置を止める方法は？,,
F08,F08,医者,「それとも自分の過去を変えるためか...博士は昔、大切な人を事故で失った。その日に戻りたいんだ」,同情する;それは危険だ,,
F09,F09,医者,「難しい選択だ...過去を変えれば未来も変わる。九龍城全体が消えるかもしれない」,蒸気塔への行き方を教えて;他に何か助けになることは？,,
F10,F10,医者,「蒸気塔には裏口がある...この通りを突き当たり、左の階段を下りて。これも持っていきな」,周波数ダイヤルを受け取る,frequency_dial,
F11,F11,ナレーター,医者から「周波数ダイヤル」を受け取った。蒸気塔内部のセキュリティシステムに使えるらしい。,蒸気塔へ向かう,,
G01,G01,ナレーター,指示通りに進み、蒸気塔の裏口に到着した。錆びついた扉がある。,錆びた鍵を使う;別の入り口を探す,,rusty_key
G02,G02,ナレーター,錆びた鍵を使うと、扉が開いた。中からは蒸気と時計の音が漏れている。,中に入る,,
G03,G03,ナレーター,蒸気塔の内部は複雑な機械と配管で満たされていた。下層へと続く階段がある。,下層へ向かう;周囲を調べる,,
G04,G04,ナレーター,下層へと向かう途中、突然時間がゆがみ、同じ階段を何度も降りているような感覚に陥った。,機械式眼球を使う;前進を続ける,,mechanical_eye
G05,G05,ナレーター,機械式眼球を使うと、時間のゆがみが可視化された。壁に隠された扉が見える。,扉を開ける,,
G06,G06,ナレーター,扉の向こうには、小さな空間があった。ここには時間の流れが正常なようだ。,進む,,
G07,G07,ナレーター,突然、通路を猫のような生き物が横切った。,追いかける,,
G08,G08,郵便屋,「ミャオ、届け物...あんた、もう読んだね？」,何の届け物？;あなたは誰？,,
G09,G09,郵便屋,「時間の記録...博士が探してる...危険だよ」,博士のところに連れて行って;何が危険なの？,,
G10,G10,郵便屋,「博士は...過去を変えようとしてる...でも時間は壊れる...これを持って」,歯車の猫を受け取る,gear_cat,
G11,G11,ナレーター,郵便屋から「歯車の猫」を受け取った。機械仕掛けの小さな猫の置物だ。,博士の研究室はどこ？,,
G12,G12,郵便屋,「私についてきて...だけど決めるのはあなた...時間を修復するか、博士を止めるか」,猫について行く,,
H01,H01,ナレーター,郵便屋についていくと、複雑な配管の迷路を抜け、博士の研究室の前に到着した。,中に入る;少し様子を見る,,
H02,H02,ナレーター,研究室の中は、無数の時計と歯車で埋め尽くされていた。中央には巨大な装置がある。,装置を調べる;周囲を見回す,,
